UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20
84001001,US,USA,840,1001.0,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",-1,-2,9,15,3,-2,3,0,-4,1,12,16,10,15,16,15,10,-4,7,-5,-12,-13,-11,0,5,0,2,5,0,2,2,5,3,0,6,12,16,12,-1,1,4,11,16,15,10,-3,-5,6,10,15,11,7,-4,-5,-2,8,10,3,-6,-4,-2,0,11,16,12,10,0,-3,0,6,12,14,14,16,15,15,14,15,15,16,16,14,10,16,17,15,13,17,18,14,7,9,3,4,7,10,12,13,15,19,16,-1,1,13,7,-3,-1,7,12,12,12,10,7,14,13,13,5,4,8,15,8,8,11,13,16,17,7,3,10,2,3,4,6,12,14,15,16,18,19,14,13,15,20,19,19,19,19,20,19,19,18,15,16,19,20,20,21,21,21,23,23,23,17,16,17,17,17,15,15,17,18,18,20,21,21,20,22,20,22,22,23,23,22,22,23,22,22,22,22,22,22,23,20,21,22,22,22,21,22,22,22,23,22,21,21,22,22,21,22,22,22,22,22,21,21,21,19,21,20,19,21,21,22,22,22.5,22.81,22.66,22.77,21.19,22.31,19.95,20.69,20.54,20.25,20.94,21.81,22.52,23.73,24.19,23.54,23.56,23.65,23.36,24.02,24.45,23.59,22.85,21.98,19.25,18.09,18.17,20.17,19.28,22.08,23.6,23.68,22.34,22.48
84001003,US,USA,840,1003.0,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",0,1,17,17,6,0,6,3,-2,8,16,18,14,18,19,18,16,5,15,0,-9,-10,-9,4,6,1,5,8,3,6,5,9,6,3,10,16,18,14,-2,6,9,17,19,19,13,-1,-4,8,14,19,16,12,-1,-3,3,14,14,6,-4,-1,-1,6,14,18,17,12,0,-3,4,11,15,16,16,17,17,15,15,16,18,19,19,17,15,19,19,19,18,19,20,20,11,16,6,6,9,12,14,15,19,22,21,8,5,16,12,1,-2,12,19,21,15,13,12,19,14,16,8,3,13,17,8,7,12,15,16,18,9,3,13,6,5,7,6,15,17,18,18,21,20,18,18,20,22,22,20,19,21,21,20,21,20,17,18,22,22,21,22,22,23,24,25,24,18,16,20,20,18,17,18,19,20,20,21,22,23,22,23,23,23,24,24,24,23,22,23,22,22,23,23,22,23,24,22,22,24,24,23,22,23,23,23,23,24,23,23,23,23,22,22,23,24,24,24,24,23,22,21,22,21,21,23,23,24,24,23.36,23.47,23.5,23.71,22.71,22.99,23.17,22.94,21.61,21.48,22.17,22.74,23.27,24.69,24.45,25.06,24.55,24.33,24.35,25.11,25.6,24.69,23.71,23.98,23.09,20.41,20.93,22.6,21.65,23.29,24.42,24.52,24.08,23.88
84001005,US,USA,840,1005.0,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",-1,-2,9,17,5,-2,3,1,-4,2,12,16,14,18,16,16,11,-3,8,1,-10,-12,-11,1,7,0,1,6,0,2,3,5,3,0,6,12,15,15,-1,2,3,11,17,16,13,-4,-6,7,11,16,14,7,0,-5,-1,9,14,5,-6,-5,-3,0,9,16,14,11,0,-3,0,7,11,14,14,15,15,15,15,15,15,15,17,15,12,16,16,16,12,17,18,18,8,11,2,4,6,10,12,13,15,19,18,1,0,14,12,0,-2,8,15,14,13,10,7,14,14,14,6,4,8,15,9,8,10,13,16,17,8,2,9,4,4,5,5,11,14,15,15,18,19,16,16,16,20,19,19,19,19,20,20,20,19,15,18,18,19,19,20,20,21,22,22,23,19,17,18,16,16,15,14,17,18,18,20,21,21,21,21,21,21,22,22,22,22,21,22,21,21,22,22,22,22,23,20,19,21,22,22,21,21,21,21,22,22,21,21,22,21,21,21,22,22,22,22,21,21,21,19,20,21,21,21,21,22,22,22.03,22.61,22.59,22.67,21.12,21.08,20.73,20.86,20.79,20.43,20.85,21.6,22.96,23.71,23.32,23.66,23.36,23.61,23.15,23.74,24.03,23.27,22.39,20.94,18.59,17.65,17.91,20.11,19.81,22.84,23.7,23.78,23.19,23.56
84001007,US,USA,840,1007.0,Bibb,Alabama,US,32.99642064,-87.12511459999996,"Bibb, Alabama, US",-1,-1,10,14,3,-1,5,0,-3,1,12,16,10,15,17,16,10,-1,9,-5,-11,-12,-9,2,5,0,2,6,1,3,2,5,4,1,7,14,17,10,-1,0,4,11,15,15,8,-4,-5,6,10,16,9,6,-5,-4,0,9,10,3,-6,-3,-1,2,12,17,12,10,0,-3,0,7,14,15,15,17,16,16,13,16,16,18,18,13,10,17,17,15,14,18,19,13,7,9,4,5,8,11,12,14,16,20,16,0,2,12,6,-3,0,9,11,12,12,10,8,15,13,14,5,4,10,16,8,9,13,15,18,18,8,4,11,3,4,5,7,12,15,16,17,19,19,14,13,16,20,20,19,19,20,20,19,18,17,15,16,20,21,21,22,21,22,23,24,23,16,15,16,18,17,15,16,18,18,19,21,21,22,21,22,20,22,23,23,23,22,22,23,23,22,23,23,23,23,24,21,22,22,22,23,22,22,22,23,23,23,23,22,23,22,22,22,23,23,23,24,22,21,21,20,21,21,21,22,22,23,23,23.15,23.48,23.33,23.39,21.98,22.34,19.62,20.5,20.75,20.57,20.89,22.14,22.62,23.73,24.55,24.13,23.85,23.93,23.81,24.62,24.75,24.07,23.57,23.14,19.73,18.95,18.89,20.97,20.15,22.61,24.05,24.01,22.47,22.35
84001009,US,USA,840,1009.0,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",-1,-4,7,13,2,-1,4,0,-4,-1,11,15,7,12,16,16,6,-3,6,-7,-12,-13,-11,0,4,0,0,5,0,2,2,3,3,1,5,13,16,9,-3,0,1,10,13,12,6,-6,-5,3,7,13,6,3,-6,-5,0,7,9,2,-6,-3,-2,0,10,14,10,8,-1,-3,-1,6,12,14,15,14,12,12,11,14,15,17,17,10,7,15,16,13,12,17,18,12,7,8,3,4,6,9,11,12,15,19,11,-3,0,10,3,-3,0,6,8,10,10,8,6,13,12,12,6,4,8,14,7,7,11,14,17,18,7,4,9,1,4,3,6,11,14,15,16,18,18,13,13,14,19,20,20,20,19,19,18,17,16,14,15,18,21,20,21,21,21,22,23,22,15,13,15,15,14,14,15,16,17,19,20,20,21,20,21,19,20,23,22,22,21,22,22,22,21,21,22,22,22,23,20,21,21,20,20,22,22,22,23,23,23,22,21,22,22,21,22,22,22,23,23,21,20,19,19,20,21,21,21,21,22,22,22.86,22.5,22.67,22.16,21.18,20.07,18.12,19.74,19.91,20.09,19.87,21.12,22.11,22.47,23.67,23.77,23.08,23.51,23.26,23.48,24.06,23.44,22.3,22.7,17.49,17.4,17.31,19.12,19.48,21.88,22.77,23.29,21.83,22.17
84001011,US,USA,840,1011.0,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",-1,-2,9,17,5,-2,3,0,-4,1,12,16,13,17,16,16,11,-3,8,0,-10,-12,-11,0,6,0,1,5,0,2,2,5,3,0,6,12,16,14,-1,2,3,11,17,16,12,-4,-6,6,10,16,13,7,-2,-5,-2,9,13,4,-7,-5,-3,0,9,16,13,10,0,-3,0,7,11,14,14,15,15,15,15,15,15,15,17,15,12,17,17,16,12,17,18,17,8,11,2,4,6,10,12,13,15,19,17,0,1,14,11,-1,-2,7,14,13,13,10,7,13,13,13,5,4,8,15,8,8,10,13,16,16,8,2,9,3,3,4,5,11,14,15,15,18,19,16,15,16,20,19,19,19,19,20,19,20,18,15,17,18,19,19,20,20,21,22,22,23,18,16,17,16,16,14,14,17,18,18,20,21,21,20,21,21,21,22,22,23,22,21,22,21,21,22,22,22,22,23,20,19,21,21,22,22,21,21,22,22,22,21,21,22,21,21,21,22,22,22,22,22,22,21,19,20,21,21,21,21,22,22,22.02,22.48,22.66,22.7,21.08,21.13,20.2,20.87,20.67,20.27,20.52,21.64,22.8,23.63,23.29,23.52,23.32,23.52,23.13,23.7,24.09,23.29,22.45,21.17,18,17.23,17.47,19.95,19.68,22.61,23.63,23.61,22.76,23.04
84001013,US,USA,840,1013.0,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",-2,-3,12,16,4,-2,4,0,-4,1,13,17,12,17,17,16,12,-3,10,-3,-12,-13,-10,2,5,0,2,6,1,3,3,6,4,1,8,13,17,14,-2,3,5,13,17,16,11,-4,-7,7,12,17,14,9,-3,-6,-4,9,12,3,-7,-6,-3,1,11,16,14,11,0,-4,-1,6,12,14,14,15,15,15,15,15,16,16,17,15,12,17,17,16,13,17,18,16,8,12,4,4,7,10,13,14,16,20,18,3,2,14,10,-1,-2,8,15,17,13,10,8,15,13,13,5,4,9,16,8,8,11,13,16,17,7,2,11,3,3,5,6,12,14,15,16,19,19,15,14,17,21,20,19,19,20,20,19,20,18,15,17,20,21,20,20,21,22,23,23,23,17,16,18,18,17,16,15,17,18,19,20,21,21,21,22,21,21,23,23,23,22,21,23,22,22,22,22,22,23,23,21,21,22,22,23,21,21,22,22,22,22,21,22,22,22,21,22,22,22,22,22,22,22,21,20,21,21,20,21,22,23,22,22.07,22.39,22.83,22.37,21.41,21.5,21.64,20.89,20.77,20.33,21.07,21.94,22.8,24.02,23.8,23.69,23.64,23.58,23.36,24.05,24.31,23.25,22.61,21.59,19.88,18.34,18.71,21,19.89,22.97,23.71,23.38,22.97,23.23
84001015,US,USA,840,1015.0,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",-1,-3,6,14,3,-2,3,0,-4,0,11,15,9,13,15,15,7,-4,5,-5,-11,-12,-12,0,5,0,0,4,0,1,2,3,3,1,5,12,16,12,-3,0,1,8,14,13,8,-4,-5,4,7,13,7,4,-5,-4,-1,6,9,3,-6,-3,-3,0,9,14,10,8,0,-3,-1,5,11,14,14,15,13,14,12,14,15,16,16,12,8,15,16,13,11,16,18,12,6,7,2,3,5,8,10,12,14,18,13,-2,0,12,5,-4,0,6,8,9,10,8,6,13,12,12,6,4,8,14,8,6,10,13,17,17,8,3,9,1,3,3,6,11,14,15,15,18,18,13,13,14,19,19,19,18,19,19,18,19,17,14,15,18,20,20,21,21,21,22,22,23,16,15,16,16,15,14,15,15,17,19,20,20,21,20,21,19,20,22,22,22,21,22,22,22,21,22,22,22,22,23,19,20,21,20,21,21,22,22,23,22,22,22,21,21,21,21,22,22,22,23,23,21,21,21,19,21,21,21,21,21,22,22,22.83,22.34,22.69,22.22,20.86,20.82,18.55,20.05,19.98,20.24,19.91,21.47,22.22,22.56,23.78,23.65,23.01,23.25,23.26,23.41,23.8,23.3,22.4,22.44,17.85,17.27,17.07,18.87,19.71,22.15,22.94,23.21,21.99,22.38
84001017,US,USA,840,1017.0,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",-1,-3,6,15,4,-3,3,0,-4,0,11,15,11,15,15,15,8,-4,5,-3,-12,-13,-13,0,6,0,0,4,0,1,1,3,2,0,4,11,15,14,-2,0,1,9,16,14,10,-4,-5,5,8,14,10,5,-3,-5,-2,7,11,3,-7,-5,-4,-1,8,15,11,9,-1,-4,-2,5,10,13,13,15,14,14,13,14,14,15,16,13,10,15,16,14,11,16,17,14,6,8,2,3,5,8,10,12,14,18,14,-2,0,13,8,-3,-1,6,10,10,11,8,6,13,13,12,5,4,8,14,8,6,9,12,16,16,7,2,8,1,3,3,5,11,14,14,15,17,18,15,14,14,19,19,19,18,18,19,19,19,17,15,15,17,19,19,20,20,20,22,22,23,17,16,16,16,15,13,14,16,17,18,19,20,21,20,21,19,20,22,22,22,21,21,22,21,20,21,22,22,22,23,19,19,20,21,21,22,21,22,21,22,21,21,21,21,21,20,21,21,22,22,22,21,21,21,20,20,21,20,20,21,21,22,22.28,21.97,22.32,22.27,20.35,21.41,18.89,20.17,19.93,20.11,20.12,21,22.09,22.8,23.47,23,22.93,23.13,22.94,23.02,23.12,22.58,21.82,21.23,16.78,16.52,16.47,18.7,19.21,21.75,22.91,22.65,21.5,21.62
84001019,US,USA,840,1019.0,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",-1,-3,5,13,2,-2,1,0,-3,0,10,14,8,12,14,14,6,-4,4,-6,-13,-14,-11,-1,4,-1,0,3,0,1,1,2,2,1,5,11,15,11,-3,-1,1,7,13,11,7,-6,-5,3,6,12,6,2,-6,-5,-1,6,9,2,-7,-3,-4,-1,8,13,9,8,-1,-4,-2,4,11,13,14,14,9,12,10,12,14,15,16,11,7,13,15,12,10,15,17,11,6,7,1,2,5,7,9,11,14,17,11,-4,0,11,3,-5,0,5,7,8,9,7,5,13,12,11,6,4,8,13,7,6,10,13,16,17,6,3,8,0,2,1,5,11,14,14,15,17,18,13,12,13,18,19,18,19,20,18,18,17,16,13,14,17,19,20,21,21,21,22,22,22,15,13,14,15,14,13,14,15,17,18,19,19,20,20,20,18,19,22,22,21,20,21,21,21,21,21,21,22,22,22,18,20,20,19,20,21,21,22,22,22,22,21,21,21,21,20,21,22,22,22,23,20,19,20,19,20,21,20,20,20,22,22,21.75,20.89,21.52,21.24,19.71,19.06,17.41,18.92,18.89,19.08,18.77,20.19,21.14,21.55,22.55,22.45,21.94,22.03,22.27,24.41,24.94,24.65,23.65,23.84,18.27,18.08,18.15,21.58,22.83,24.7,23.16,23.82,22.45,22.39
