UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20
84001001,US,USA,840,1001.0,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",54,51,82,89,63,55,69,50,44,54,70,81,81,89,90,87,68,30,70,42,34,35,35,70,73,64,70,77,61,69,66,74,73,59,67,78,87,86,63,67,67,79,87,83,78,50,40,77,85,89,85,85,52,47,51,76,76,68,44,47,45,52,79,89,87,86,50,44,47,62,78,84,73,80,76,74,74,76,76,77,76,77,80,85,76,72,66,76,75,65,50,67,56,55,56,60,61,67,79,87,71,34,46,73,69,37,37,57,67,82,74,65,57,84,75,70,50,51,56,82,64,61,64,67,74,75,52,50,72,50,48,49,50,60,61,63,64,77,84,70,65,76,85,78,76,72,89,89,79,74,68,61,62,71,81,77,79,81,82,87,90,87,69,63,62,67,67,66,69,72,69,67,72,85,83,89,88,83,84,81,82,84,84,84,85,81,78,86,89,88,85,81,69,79,80,75,80,77,73,71,73,76,77,73,76,83,80,78,77,82,88,78,76,75,77,71,69,72,72,69,72,72,72,79,77.0,79.0,82.0,83.0,72.0,78.0,69.0,74.0,83.0,80.0,84.0,82.0,86.0,90.0,82.0,83.0,89.0,86.0,85.0,88.0,90.0,85.0,82.0,77.0,67.0,69.0,72.0,75.0,71.0,81.0,86.0,87.0,82.0,81.0
84001003,US,USA,840,1003.0,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",54,56,87,91,65,59,70,55,46,69,83,89,87,93,89,88,83,50,85,53,36,40,37,68,69,61,78,82,67,79,71,83,75,63,77,82,90,88,53,72,73,85,89,89,80,47,38,80,87,91,83,88,54,49,60,85,82,69,47,49,46,65,77,85,93,86,46,38,56,75,80,82,81,82,79,72,74,77,82,81,81,80,79,82,82,75,78,80,79,74,52,75,56,54,57,66,69,73,85,86,78,54,51,68,68,41,31,66,81,86,74,67,60,86,68,74,50,43,68,82,55,53,63,73,76,74,48,40,71,51,40,44,43,72,74,77,72,83,85,75,83,82,81,76,72,71,83,87,76,78,73,60,62,82,84,81,80,87,94,92,92,89,68,60,72,70,63,63,69,71,72,72,74,83,82,85,83,82,81,82,80,79,78,81,81,84,87,87,87,87,83,82,71,72,83,80,86,81,78,80,81,78,79,80,83,90,87,83,91,88,91,85,81,82,78,74,71,73,72,73,79,80,79,80,80.0,80.0,85.0,83.0,73.0,77.0,77.0,78.0,82.0,79.0,80.0,88.0,91.0,86.0,82.0,84.0,84.0,84.0,86.0,89.0,87.0,84.0,81.0,79.0,73.0,70.0,75.0,81.0,75.0,79.0,87.0,88.0,87.0,92.0
84001005,US,USA,840,1005.0,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",50,48,68,87,65,52,65,53,43,56,73,82,85,89,88,86,68,32,73,57,37,35,30,63,73,56,63,78,59,72,69,79,76,56,65,77,86,87,60,72,64,76,80,80,78,39,36,83,87,87,85,86,62,49,51,72,83,71,41,41,40,49,69,81,89,87,49,41,51,63,72,81,73,75,72,68,72,77,74,72,75,74,78,82,73,67,61,74,74,72,46,66,50,54,56,56,63,66,72,83,70,36,43,67,69,39,32,57,71,79,75,62,55,78,74,68,48,49,56,78,64,56,60,63,71,72,52,44,62,50,45,48,47,56,62,64,64,78,86,71,72,78,83,77,75,75,84,87,78,78,73,62,68,70,78,74,73,82,88,78,84,84,70,64,69,65,66,67,67,68,68,64,70,79,79,84,85,78,74,74,78,80,81,79,80,78,81,87,86,82,79,75,65,68,74,74,79,73,69,69,69,71,74,72,80,79,75,76,74,83,87,76,73,71,69,70,67,67,71,70,73,71,74,78,74.0,76.0,81.0,80.0,71.0,69.0,68.0,76.0,82.0,79.0,78.0,82.0,90.0,84.0,76.0,81.0,81.0,85.0,86.0,86.0,86.0,81.0,77.0,71.0,64.0,65.0,69.0,72.0,72.0,86.0,86.0,89.0,89.0,90.0
84001007,US,USA,840,1007.0,Bibb,Alabama,US,32.99642064,-87.12511459999996,"Bibb, Alabama, US",56,56,86,92,65,61,72,52,48,53,69,85,81,89,93,91,71,38,77,43,40,40,41,74,72,64,71,80,62,67,67,74,75,60,65,80,90,88,66,63,68,83,92,86,79,50,43,76,85,93,85,86,52,51,56,81,77,70,45,49,48,54,84,89,89,89,49,45,46,60,83,87,74,85,78,81,76,77,78,78,79,82,81,89,79,75,69,78,76,62,50,71,60,57,61,63,59,68,85,89,72,36,53,77,68,40,48,64,69,88,74,67,64,86,75,72,53,54,62,82,63,63,68,73,77,81,56,55,78,55,56,52,56,63,65,67,68,77,85,74,70,76,85,83,74,70,88,89,78,75,69,63,63,72,84,81,80,82,79,89,92,80,67,62,62,67,67,65,72,75,71,70,76,85,83,92,86,83,86,80,81,83,85,85,83,80,77,87,88,89,85,81,70,81,79,75,79,78,73,72,76,78,83,77,74,82,79,80,79,83,91,81,82,76,77,72,72,74,74,76,77,73,74,77,77.0,79.0,85.0,83.0,74.0,75.0,68.0,72.0,80.0,81.0,81.0,80.0,80.0,92.0,82.0,84.0,90.0,88.0,84.0,89.0,88.0,83.0,82.0,80.0,71.0,74.0,75.0,79.0,74.0,82.0,87.0,86.0,79.0,77.0
84001009,US,USA,840,1009.0,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",56,49,81,92,68,62,70,53,46,45,69,84,80,85,91,91,68,39,75,44,42,41,37,69,76,71,71,80,63,65,68,71,75,60,57,78,90,89,62,65,64,85,90,87,80,54,45,65,83,91,79,83,53,51,56,84,79,75,49,54,53,50,85,81,84,88,50,50,46,59,83,86,78,82,73,88,86,83,78,77,82,81,75,91,83,80,70,71,75,63,52,77,62,60,59,57,61,63,78,88,65,35,48,79,62,42,50,55,69,86,71,62,62,87,76,71,62,59,54,80,63,59,64,69,76,82,65,57,77,53,56,52,56,62,63,63,65,77,83,75,76,75,80,82,76,74,86,89,79,74,70,65,67,69,79,78,83,80,78,87,90,78,65,59,63,62,65,68,70,69,70,70,77,81,86,90,87,85,85,82,82,80,89,84,77,80,76,81,84,88,84,80,69,82,82,75,71,76,73,75,77,77,81,79,73,78,78,79,79,84,86,84,83,75,76,72,74,75,80,79,74,72,74,75,79.0,79.0,87.0,82.0,75.0,71.0,66.0,76.0,79.0,87.0,81.0,80.0,82.0,91.0,87.0,82.0,88.0,88.0,86.0,90.0,90.0,82.0,77.0,80.0,72.0,74.0,73.0,76.0,76.0,82.0,82.0,84.0,79.0,81.0
84001011,US,USA,840,1011.0,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",51,50,72,89,64,53,66,52,44,55,72,82,85,90,88,87,69,33,73,55,37,36,32,64,73,60,64,79,60,73,69,77,76,56,65,77,85,87,62,73,64,74,80,80,77,41,36,80,85,87,87,86,59,49,49,74,80,71,40,42,40,48,70,83,88,87,51,43,49,62,72,81,72,74,73,69,73,75,73,73,75,74,80,83,76,69,63,74,74,70,49,67,52,55,56,57,62,66,73,85,70,36,45,69,71,39,34,56,69,80,75,65,56,80,74,67,46,49,56,78,64,57,61,63,70,70,52,46,65,50,45,49,48,57,62,64,64,78,86,70,69,75,84,77,75,75,85,88,77,76,70,60,65,71,77,75,74,82,85,79,83,83,68,62,65,64,64,65,66,68,68,64,70,80,78,84,86,79,76,76,79,82,83,81,81,77,78,83,86,82,79,76,65,70,75,71,78,76,69,69,71,74,73,70,77,80,77,78,75,81,88,78,73,74,72,71,67,68,72,71,72,72,74,79,74.0,75.0,81.0,81.0,72.0,70.0,67.0,75.0,81.0,78.0,77.0,81.0,88.0,85.0,75.0,80.0,81.0,82.0,84.0,86.0,87.0,81.0,79.0,73.0,63.0,64.0,68.0,71.0,71.0,85.0,86.0,87.0,85.0,86.0
84001013,US,USA,840,1013.0,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",50,47,79,90,62,53,67,51,43,50,71,83,85,91,88,86,72,28,75,46,32,35,37,68,70,57,71,79,61,74,68,78,76,56,69,78,87,87,55,72,67,77,79,80,78,43,35,79,85,86,87,87,51,45,43,71,78,66,41,41,39,51,72,79,88,86,47,39,43,59,75,77,72,73,71,68,68,69,74,75,75,76,80,78,74,68,62,72,73,68,49,69,55,53,56,60,64,67,75,83,72,43,46,67,68,38,33,56,73,81,75,63,55,77,71,66,46,48,56,78,59,56,59,65,70,72,49,44,68,49,45,49,47,59,63,65,65,76,86,67,65,77,85,76,73,71,88,85,73,74,67,57,59,74,79,76,73,81,88,86,88,84,68,63,66,66,64,67,65,67,68,66,69,79,79,84,87,81,78,80,79,81,82,81,83,80,84,83,89,83,85,80,71,73,74,73,81,76,69,73,74,73,74,72,79,84,80,79,78,83,87,76,71,76,74,71,67,70,72,67,72,73,74,76,74.0,75.0,82.0,79.0,71.0,71.0,71.0,73.0,80.0,78.0,79.0,82.0,87.0,86.0,78.0,81.0,82.0,82.0,84.0,84.0,85.0,80.0,78.0,73.0,67.0,66.0,71.0,75.0,70.0,86.0,85.0,83.0,82.0,85.0
84001015,US,USA,840,1015.0,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",57,51,81,91,68,61,69,54,45,49,73,81,81,88,90,88,67,37,73,49,44,41,35,67,77,71,70,81,65,64,67,74,75,60,56,75,87,89,62,72,65,83,90,85,81,55,47,73,84,91,81,85,55,52,56,83,79,77,49,53,50,48,82,83,86,88,53,50,47,60,80,83,77,83,71,87,86,83,77,76,78,81,77,90,82,77,68,71,76,61,49,73,60,59,56,55,56,63,76,87,67,37,48,77,65,40,47,55,66,85,71,62,60,85,76,69,62,57,54,79,67,57,62,66,75,80,65,56,76,54,55,52,56,64,65,65,67,78,85,75,79,77,79,84,77,73,88,90,80,81,72,67,69,70,77,78,84,81,81,85,88,85,70,64,64,68,70,69,74,71,70,71,78,81,87,91,89,81,86,83,81,85,87,84,80,80,78,87,86,88,84,83,70,82,83,74,73,75,74,77,80,75,78,78,73,80,79,76,79,84,87,85,82,77,76,78,74,77,80,77,74,74,77,77,82.0,80.0,85.0,83.0,75.0,75.0,69.0,77.0,81.0,86.0,79.0,81.0,84.0,93.0,87.0,82.0,88.0,86.0,86.0,88.0,89.0,83.0,79.0,80.0,72.0,74.0,74.0,77.0,79.0,85.0,86.0,86.0,82.0,84.0
84001017,US,USA,840,1017.0,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",53,49,77,90,65,55,67,53,43,55,74,81,82,91,90,87,66,34,69,49,37,35,31,67,77,65,65,77,60,65,66,78,75,59,60,76,85,88,63,75,65,79,86,84,79,46,44,81,85,91,84,85,56,49,52,80,78,72,43,47,43,48,76,89,88,87,51,44,47,62,76,83,75,79,71,75,79,80,75,75,74,74,77,88,78,71,66,75,75,67,47,66,54,56,55,55,57,65,76,86,68,33,45,71,68,37,39,56,63,84,72,62,57,83,76,68,53,52,55,79,67,56,60,64,73,74,56,50,69,51,51,50,53,62,64,66,67,76,87,74,77,75,81,79,77,76,85,90,79,77,68,63,63,66,74,75,79,80,82,81,85,89,71,66,63,69,68,69,73,71,69,69,73,82,82,86,88,77,80,78,80,83,84,82,79,76,73,85,86,87,81,79,68,74,78,73,78,78,72,74,72,76,74,72,74,79,79,77,74,81,86,82,77,77,74,75,73,72,76,72,71,72,75,78,77.0,76.0,82.0,85.0,72.0,77.0,68.0,75.0,82.0,80.0,79.0,79.0,86.0,89.0,82.0,80.0,86.0,87.0,84.0,84.0,84.0,81.0,79.0,75.0,62.0,67.0,71.0,74.0,76.0,83.0,84.0,83.0,80.0,81.0
84001019,US,USA,840,1019.0,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",55,51,77,88,65,59,65,53,47,52,71,76,76,83,87,86,63,39,70,47,38,35,36,63,75,65,67,76,62,66,66,70,70,60,60,74,85,84,61,70,67,83,85,84,76,50,45,67,79,88,74,79,49,49,56,81,77,72,46,53,50,48,80,79,78,84,51,47,47,57,78,81,79,78,66,85,83,81,79,75,78,76,73,88,84,76,68,70,75,59,47,70,56,56,54,54,56,61,73,83,62,32,45,74,57,36,47,55,62,80,67,57,55,84,73,69,62,56,55,75,66,55,60,64,74,80,62,55,74,50,52,47,56,65,65,65,66,75,84,73,76,74,79,82,74,75,79,86,82,74,68,62,64,70,76,78,83,79,77,81,86,83,67,56,59,66,68,67,73,70,70,69,76,79,83,87,84,80,85,81,80,82,84,79,74,78,75,81,81,85,81,78,64,78,78,69,69,72,71,75,76,71,76,77,72,76,76,74,76,81,83,83,80,74,71,76,74,76,79,77,72,70,78,76,74.0,71.0,79.0,77.0,68.0,66.0,62.0,72.0,76.0,79.0,74.0,76.0,79.0,86.0,80.0,76.0,80.0,77.0,79.0,92.0,93.0,88.0,83.0,85.0,72.0,76.0,77.0,91.0,93.0,96.0,85.0,89.0,82.0,83.0
