UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20
84001001,US,USA,840,1001.0,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",4,6,97,98,43,6,7,12,4,8,42,91,52,100,98,48,84,12,92,34,4,4,3,98,90,13,36,49,13,85,13,23,49,9,11,65,96,99,73,50,11,93,88,68,95,10,5,85,22,98,89,98,13,5,7,96,68,36,7,5,6,5,96,94,99,98,6,5,3,10,72,28,23,21,15,28,16,26,20,13,31,43,87,77,39,50,6,6,9,12,3,83,6,1,4,7,17,11,72,61,14,12,8,83,5,4,1,2,27,100,92,6,22,98,14,11,2,3,7,82,12,2,8,5,3,12,12,3,62,3,2,2,2,4,5,7,6,87,92,16,17,41,75,59,48,24,98,95,40,13,5,1,2,6,44,38,64,38,47,97,77,56,4,4,4,9,10,5,9,13,9,7,23,69,69,94,68,14,21,18,30,47,71,71,52,32,28,85,80,49,55,23,5,51,9,17,28,8,13,12,14,59,22,20,51,59,70,43,28,79,91,39,28,9,19,31,7,10,6,3,5,11,21,65,26.0,60.0,76.0,60.0,6.0,30.0,5.0,57.0,76.0,81.0,69.0,33.0,60.0,77.0,18.0,45.0,74.0,45.0,58.0,33.0,52.0,8.0,5.0,8.0,7.0,5.0,1.0,6.0,8.0,33.0,58.0,48.0,30.0,27.0
84001003,US,USA,840,1003.0,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",4,11,82,98,20,7,6,9,3,11,70,91,66,95,75,25,66,21,91,36,5,4,4,93,45,7,95,86,9,89,14,93,38,9,12,31,93,98,20,24,9,45,51,79,85,10,6,93,26,65,61,96,9,7,9,88,74,20,6,4,5,7,49,40,96,76,5,4,6,12,35,23,15,11,11,9,9,37,21,12,12,43,23,18,16,20,10,5,10,14,3,80,2,1,9,11,47,11,53,46,17,61,5,84,6,17,1,4,80,96,84,10,10,95,12,8,6,3,5,98,7,2,6,8,6,5,25,1,78,10,4,2,1,7,9,54,15,94,99,20,75,25,30,19,22,56,99,78,26,35,16,3,4,57,85,65,42,88,100,100,80,56,5,3,23,15,7,7,11,12,7,8,14,65,65,59,41,21,7,22,25,24,35,76,72,87,80,85,85,71,32,32,4,60,37,32,85,44,30,28,61,27,39,43,68,86,73,71,75,89,90,14,7,8,8,16,7,7,9,11,32,25,34,73,42.0,53.0,75.0,60.0,9.0,36.0,37.0,48.0,63.0,42.0,29.0,78.0,90.0,52.0,29.0,40.0,52.0,74.0,87.0,52.0,22.0,6.0,5.0,13.0,10.0,6.0,5.0,24.0,11.0,26.0,72.0,73.0,71.0,69.0
84001005,US,USA,840,1005.0,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",4,6,56,95,55,7,5,8,4,8,26,87,71,89,75,39,49,9,91,81,3,3,2,89,91,8,39,75,10,82,16,84,40,10,11,25,92,99,40,34,8,28,67,39,78,9,4,95,27,90,84,98,16,6,8,95,91,21,5,5,6,5,73,69,99,88,6,4,4,11,20,43,27,10,11,27,15,32,17,9,11,19,67,65,19,24,5,6,8,11,1,82,3,1,4,11,21,11,28,61,16,14,6,89,6,17,1,2,26,100,91,6,8,98,17,7,5,3,6,91,42,3,7,6,4,3,13,2,42,3,2,1,2,3,5,5,5,72,96,38,83,39,86,25,21,55,96,85,22,40,14,2,6,7,35,28,35,71,86,77,80,59,5,5,7,7,8,6,5,14,13,7,17,60,60,75,64,10,17,18,27,51,42,73,60,17,40,86,74,44,42,26,5,18,12,19,33,14,10,12,10,38,35,31,60,36,39,43,35,74,90,28,28,5,5,28,8,8,16,12,36,33,65,47,46.0,51.0,72.0,52.0,9.0,12.0,13.0,47.0,77.0,51.0,19.0,51.0,84.0,54.0,10.0,41.0,51.0,51.0,75.0,51.0,61.0,8.0,4.0,7.0,5.0,6.0,4.0,6.0,9.0,72.0,45.0,40.0,51.0,66.0
84001007,US,USA,840,1007.0,Bibb,Alabama,US,32.99642064,-87.12511459999996,"Bibb, Alabama, US",4,6,99,97,34,5,7,19,5,6,50,91,19,97,99,72,90,13,94,14,5,5,2,94,89,12,30,44,14,36,15,18,46,9,10,73,96,99,64,52,10,99,99,74,95,8,5,77,20,99,86,98,12,4,8,95,32,53,7,6,7,5,95,95,99,99,13,5,2,10,86,47,25,48,15,55,17,24,22,14,72,66,87,96,65,67,5,7,9,24,3,82,5,1,4,8,14,10,84,63,20,10,6,82,5,2,2,3,52,100,92,5,42,97,8,23,3,3,13,83,9,2,8,5,6,21,6,4,82,3,3,4,3,5,6,14,14,85,82,12,11,24,69,56,17,18,97,96,55,16,5,1,2,6,57,46,62,31,25,98,80,32,3,3,2,9,12,4,11,13,8,7,32,78,67,96,77,30,32,16,24,38,70,64,42,35,25,68,81,67,52,14,7,32,8,11,22,7,11,11,15,42,40,31,26,51,60,51,33,75,90,45,49,13,22,39,6,10,6,10,9,9,24,46,37.0,51.0,85.0,50.0,8.0,16.0,3.0,39.0,61.0,83.0,64.0,28.0,55.0,81.0,24.0,54.0,90.0,57.0,58.0,56.0,54.0,9.0,5.0,8.0,9.0,5.0,1.0,5.0,6.0,21.0,50.0,53.0,19.0,22.0
84001009,US,USA,840,1009.0,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",4,3,98,97,56,8,7,40,4,5,41,92,11,84,96,89,88,11,93,2,5,4,2,96,93,15,26,81,13,18,20,16,44,10,9,73,99,99,46,70,8,99,99,82,95,7,5,15,15,99,63,98,13,4,10,98,40,71,7,10,6,4,98,78,83,99,7,6,2,8,89,41,56,88,23,90,34,45,34,16,92,66,18,100,96,53,4,4,8,43,6,81,4,1,3,9,11,9,77,54,45,2,5,82,5,2,4,3,78,100,94,5,59,98,13,26,8,2,8,76,11,1,4,6,10,53,8,5,80,3,3,4,6,8,6,12,11,78,95,19,23,15,76,53,66,82,94,98,43,20,4,1,2,4,35,59,54,24,9,84,75,24,3,2,1,4,5,6,9,15,18,13,48,68,83,86,77,28,34,39,27,47,90,37,19,57,38,56,75,71,32,22,4,59,6,8,6,7,13,25,22,41,52,65,23,41,55,56,67,77,74,54,65,14,9,33,15,17,28,16,6,16,52,41,52.0,72.0,81.0,54.0,12.0,8.0,3.0,62.0,73.0,92.0,47.0,27.0,45.0,75.0,26.0,47.0,77.0,46.0,57.0,52.0,59.0,10.0,7.0,8.0,7.0,1.0,1.0,2.0,6.0,13.0,31.0,57.0,38.0,37.0
84001011,US,USA,840,1011.0,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",4,5,75,96,30,7,5,10,4,8,19,90,77,99,85,49,59,10,88,79,4,3,2,92,92,10,36,61,11,92,14,64,44,10,11,44,91,99,59,43,8,55,70,39,83,9,3,94,24,93,91,98,13,6,7,93,81,22,6,4,6,5,81,80,99,95,6,4,4,10,24,31,24,11,11,28,16,23,16,9,16,17,81,75,27,28,5,6,8,10,2,78,4,1,4,10,18,11,40,67,18,15,7,90,6,6,1,2,23,100,91,6,10,98,17,9,2,2,6,89,33,3,7,6,4,3,18,2,54,2,1,1,2,3,4,5,5,81,96,25,61,37,86,32,26,46,96,87,28,35,7,2,4,6,30,28,44,64,73,77,78,64,5,5,4,8,8,5,6,14,13,7,23,63,64,78,66,12,21,22,26,57,50,77,59,19,27,79,72,37,43,26,4,16,8,12,35,16,10,13,15,53,31,25,56,41,51,60,22,72,87,28,22,13,7,27,7,10,15,10,23,25,57,49,42.0,62.0,72.0,53.0,5.0,9.0,7.0,40.0,73.0,65.0,28.0,47.0,77.0,65.0,11.0,42.0,53.0,43.0,69.0,50.0,63.0,8.0,5.0,8.0,6.0,5.0,2.0,6.0,9.0,66.0,48.0,34.0,45.0,47.0
84001013,US,USA,840,1013.0,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",4,8,82,96,33,7,4,10,3,6,33,91,73,100,89,33,62,12,86,79,2,3,3,96,80,8,67,73,9,93,14,48,51,9,13,43,94,99,65,37,8,53,56,60,84,9,4,95,26,89,77,98,10,4,8,92,75,19,5,3,6,6,78,69,99,92,5,4,2,10,31,22,18,10,11,12,10,27,19,11,15,24,78,53,19,21,5,6,8,13,2,80,4,1,6,10,24,10,68,71,15,11,7,87,5,5,1,2,41,100,87,6,11,96,16,10,3,3,5,94,11,2,6,5,5,4,17,3,66,3,2,1,1,3,5,10,6,82,93,21,79,56,75,63,28,45,99,80,36,24,5,2,2,15,48,45,43,64,93,98,79,55,5,5,13,9,6,7,4,14,14,7,18,60,67,73,71,20,12,28,27,54,62,70,65,54,59,76,75,40,68,25,5,51,10,27,67,9,10,22,18,48,22,42,64,66,57,72,35,78,91,16,10,18,11,21,12,8,5,4,10,30,36,45,44.0,61.0,75.0,40.0,6.0,10.0,28.0,67.0,77.0,71.0,36.0,51.0,89.0,81.0,22.0,47.0,45.0,55.0,73.0,46.0,53.0,7.0,3.0,9.0,5.0,6.0,1.0,10.0,9.0,58.0,59.0,40.0,50.0,64.0
84001015,US,USA,840,1015.0,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",4,2,98,90,67,9,6,44,5,7,24,87,16,95,95,84,88,7,93,18,4,4,3,97,95,15,17,71,14,16,16,22,37,10,9,40,98,99,55,80,8,99,99,56,96,9,4,43,14,99,73,98,14,4,8,97,64,66,7,7,6,3,98,85,94,99,11,4,2,8,82,32,56,76,25,88,39,31,26,12,80,63,38,100,90,80,3,4,8,24,4,87,4,1,3,9,12,9,68,64,39,2,4,86,5,2,4,2,75,100,92,5,32,96,15,19,8,2,8,88,21,1,6,6,8,36,7,5,70,5,3,4,5,6,6,6,5,70,96,47,32,15,59,55,41,28,86,96,56,77,6,1,2,4,24,39,65,17,14,50,75,53,4,2,2,13,7,6,11,16,16,10,47,57,75,89,82,23,31,41,38,55,88,44,25,45,39,75,78,72,48,28,4,45,7,7,9,9,16,27,21,28,42,66,26,42,53,45,61,76,84,59,62,11,19,62,14,25,40,13,6,18,49,41,48.0,68.0,82.0,75.0,10.0,9.0,4.0,57.0,74.0,89.0,63.0,48.0,51.0,82.0,33.0,34.0,67.0,36.0,61.0,50.0,60.0,10.0,7.0,7.0,7.0,2.0,2.0,5.0,8.0,25.0,36.0,57.0,27.0,47.0
84001017,US,USA,840,1017.0,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",3,4,94,96,55,7,6,16,4,7,22,83,59,99,94,49,81,6,87,70,3,3,2,96,96,12,15,43,10,45,13,53,50,9,9,41,94,99,50,65,7,91,93,42,87,10,4,89,15,99,88,98,13,4,8,98,81,24,6,7,6,4,86,93,99,98,8,4,2,9,35,21,45,32,16,44,23,24,17,9,13,31,78,88,52,63,5,6,8,13,2,81,5,1,3,8,17,10,63,68,15,10,4,90,5,4,2,2,23,100,92,6,22,96,17,11,3,2,7,88,32,2,9,5,4,15,11,2,32,3,2,1,3,5,5,5,5,62,95,45,46,13,80,42,39,37,91,84,30,28,8,1,3,3,13,21,53,36,31,59,66,70,5,4,3,14,7,5,11,10,13,9,28,56,62,89,88,24,16,17,24,43,71,65,28,28,14,90,79,68,49,24,5,28,8,9,45,14,15,24,16,55,28,39,35,41,70,56,22,62,84,44,35,18,12,48,7,20,17,8,6,21,57,48,43.0,61.0,79.0,72.0,4.0,23.0,4.0,47.0,77.0,79.0,36.0,38.0,66.0,74.0,32.0,36.0,58.0,41.0,73.0,52.0,47.0,8.0,6.0,6.0,6.0,3.0,1.0,5.0,9.0,38.0,42.0,44.0,23.0,25.0
84001019,US,USA,840,1019.0,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",4,3,98,92,57,8,6,56,5,7,31,85,14,87,95,87,87,8,93,5,5,5,3,97,96,15,19,82,16,16,20,21,34,10,9,56,99,99,55,81,11,99,98,65,95,8,4,17,14,98,65,97,12,4,10,97,70,54,7,16,11,3,97,85,72,99,8,4,2,8,78,32,60,85,25,95,43,55,47,16,89,62,16,100,98,73,3,4,8,31,4,87,4,1,3,9,13,9,38,55,50,2,6,89,6,2,4,2,80,99,95,6,31,99,19,26,10,3,8,89,19,1,6,6,20,46,9,6,71,3,3,3,7,9,8,6,6,73,98,54,45,23,78,54,38,45,92,97,54,19,5,1,1,5,33,45,56,20,8,56,75,50,3,2,1,12,9,8,12,18,20,9,44,62,76,81,69,21,37,39,34,60,84,33,24,45,41,67,75,69,54,24,2,30,7,6,7,9,16,37,25,19,61,65,27,43,62,36,59,71,81,61,63,12,12,62,24,26,35,18,6,19,65,47,49.0,63.0,88.0,69.0,7.0,8.0,5.0,60.0,79.0,89.0,58.0,42.0,59.0,83.0,38.0,41.0,65.0,40.0,64.0,43.0,45.0,11.0,8.0,10.0,7.0,2.0,2.0,4.0,8.0,17.0,33.0,55.0,29.0,30.0
