UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20
84001001,US,USA,840,1001.0,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",15,16,18,17,14,15,18,16,18,19,23,23,19,19,20,22,19,20,17,11,7,6,10,9,15,12,13,14,17,11,16,12,12,20,23,23,21,20,9,14,18,20,22,24,15,13,16,13,17,22,14,11,10,13,16,15,19,12,10,16,18,20,19,20,16,15,16,16,20,22,20,22,26,24,26,26,26,25,26,27,28,22,19,24,27,26,28,29,29,26,26,20,21,22,25,27,27,29,23,27,27,19,23,22,20,18,21,25,23,19,23,25,24,21,24,26,22,23,27,23,21,25,28,28,30,29,25,21,21,20,24,23,25,28,28,29,30,27,25,27,27,27,29,30,31,30,23,27,29,30,30,29,30,30,31,30,31,30,28,29,29,30,28,30,31,31,30,27,27,29,31,32,32,29,30,27,29,29,30,32,32,31,30,30,30,32,32,28,29,30,30,32,33,33,32,33,33,31,34,34,34,34,33,33,33,31,33,32,32,31,28,32,33,33,33,32,33,33,33,34,34,35,34,34,33.53,32.79,30.72,31.59,33.67,33.22,34.14,32.98,30.4,29.37,29.46,31.55,30.06,28.77,33.08,31.82,29.28,30.09,32.37,31.42,31.18,31.85,32.59,33.84,32.77,31.75,31.7,30.77,31.86,30.69,32.05,31.57,31,31.59
84001003,US,USA,840,1003.0,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",18,19,22,21,18,17,20,18,18,20,22,23,21,23,24,25,22,22,20,13,10,8,11,13,18,17,13,15,19,12,18,15,13,21,22,24,22,21,13,19,21,23,25,24,18,17,20,15,20,23,24,17,13,16,20,22,21,16,13,18,21,21,23,24,21,17,20,19,21,22,24,25,25,26,28,29,27,27,26,27,27,25,25,27,27,29,30,28,29,30,29,27,23,25,27,28,28,28,26,29,31,23,25,28,26,21,25,26,28,27,25,29,29,24,28,29,26,27,28,24,25,28,28,28,29,30,28,24,27,24,28,28,29,29,28,28,30,29,27,29,24,30,31,32,32,32,29,27,32,31,31,32,33,30,28,30,31,28,27,28,29,29,30,31,31,32,33,32,30,30,32,32,32,29,31,30,32,31,32,32,33,33,34,32,33,31,29,29,30,31,33,32,35,34,33,34,31,32,33,33,32,34,32,33,30,28,30,32,26,30,29,32,32,32,33,34,34,33,34,33,33,33,33,34,33.37,33.19,31.62,32.42,34.76,33.1,33.9,32.71,30.24,31.73,32.14,29.36,27.38,31.66,32.02,31.53,31.39,30.93,30.89,31.51,32.16,33.34,34.12,34.42,34.64,33.96,32.76,32.28,33.25,32.87,32.44,31.9,32.32,28.72
84001005,US,USA,840,1005.0,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",16,17,20,23,16,14,19,17,17,20,23,23,21,23,22,23,22,19,19,12,8,7,12,13,17,14,16,14,18,11,16,9,11,19,24,23,21,21,10,13,19,23,26,25,21,16,18,12,16,23,19,11,10,14,17,19,21,14,11,16,18,20,22,25,17,15,17,16,19,23,22,24,26,26,28,28,26,25,28,28,28,25,20,26,28,28,29,30,30,29,28,23,21,22,26,28,27,28,28,28,30,21,24,26,26,20,22,25,27,21,24,26,25,21,25,29,23,24,27,25,22,25,29,29,30,31,26,21,25,22,26,25,26,29,29,29,30,29,27,28,27,27,31,31,31,30,25,27,31,30,31,30,30,28,29,31,32,28,28,32,30,31,31,32,31,31,31,27,28,30,32,33,33,31,31,29,28,32,33,33,34,33,31,31,31,32,32,28,29,31,31,33,34,35,33,34,33,34,34,34,35,35,34,34,32,32,33,33,34,30,29,33,34,34,35,34,34,34,33,35,34,35,34,34,33.78,33.77,31.11,31.76,33.96,34.98,34.73,32.4,29.03,30.6,31.63,31.41,28.23,31.53,34.31,33,32.11,31.4,31.08,31.73,32.43,32.96,33.82,34.91,34.56,32.16,31.97,32.32,31.68,29.7,32.3,32.34,31.22,29.94
84001007,US,USA,840,1007.0,Bibb,Alabama,US,32.99642064,-87.12511459999996,"Bibb, Alabama, US",14,15,18,16,14,15,18,16,17,19,22,22,19,21,19,21,18,20,16,10,6,6,10,9,15,12,14,15,18,12,17,13,12,20,23,23,22,16,9,15,18,17,20,24,14,12,16,14,18,21,13,10,9,14,16,16,18,12,10,16,18,20,19,22,15,14,16,16,20,22,21,23,26,22,27,23,26,26,26,27,28,19,20,23,27,25,29,28,29,26,26,19,21,22,26,27,29,28,23,27,27,18,23,19,19,18,22,25,22,17,23,26,23,22,25,26,23,24,27,23,22,25,28,29,30,28,25,22,18,19,24,23,26,28,29,30,31,29,26,26,27,27,30,31,33,31,24,27,30,31,30,30,31,31,31,30,33,30,31,29,30,32,29,30,32,31,31,28,28,29,32,33,32,30,31,26,30,28,30,33,33,33,31,32,33,33,33,30,30,30,31,33,34,33,33,34,34,33,35,35,34,35,33,34,34,32,34,33,33,30,29,32,33,33,32,33,33,33,33,34,34,35,35,35,34.73,34.04,30.92,31.75,34.16,32.69,33.98,33.33,31.77,30.12,30.84,32.68,31.79,27.32,33.65,32.47,28.88,30.74,32.48,32.37,31.93,32.2,33.56,34.17,32.81,32.58,32.58,32.07,32.59,32.17,31.92,32.06,32.25,32.61
84001009,US,USA,840,1009.0,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",13,14,13,16,11,12,17,14,15,18,22,21,17,19,18,20,16,16,15,8,2,5,9,9,13,8,12,13,16,14,16,11,11,19,23,21,20,15,6,12,16,15,18,21,12,8,14,15,16,18,12,8,8,12,14,12,17,9,9,12,14,19,16,22,14,13,14,15,18,21,20,22,25,18,24,16,19,23,25,26,26,17,19,19,24,20,27,29,28,25,24,14,17,20,24,26,27,28,24,26,24,16,22,16,17,15,19,24,19,18,22,24,20,21,22,24,18,22,26,23,20,24,28,29,29,26,19,21,16,18,22,20,23,26,28,28,29,27,27,23,24,26,29,30,33,32,24,26,28,29,28,28,29,31,31,30,29,31,32,28,29,32,29,30,31,31,28,26,27,29,30,32,30,31,29,26,28,26,28,31,31,32,27,30,34,33,33,30,29,30,31,33,33,31,31,32,34,33,34,34,34,34,34,33,33,31,33,32,32,31,30,32,33,31,30,32,32,32,31,32,34,35,34,34,33.98,33.7,29.11,30.89,32.94,32.82,33.81,31.27,30.98,27.08,29.92,31.24,30.37,25.89,31.51,32.66,29.02,30.06,30.72,31.66,31.34,32.09,33.69,32.92,31.49,31.41,31.73,31.5,31.32,31.24,32.16,31.4,31.73,31.66
84001011,US,USA,840,1011.0,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",16,17,19,22,16,14,18,16,17,20,23,23,20,22,22,22,22,19,18,11,8,7,11,12,16,13,16,13,18,10,16,10,11,19,24,23,21,21,9,12,19,22,26,26,19,15,17,12,16,23,17,11,10,14,17,16,20,13,10,16,18,20,21,24,17,15,17,16,19,23,20,23,26,26,27,27,26,25,27,28,28,24,19,25,27,27,28,29,30,27,27,22,21,22,26,27,27,28,27,27,29,20,23,25,24,19,21,25,26,19,23,26,24,21,24,29,23,24,27,24,21,25,28,29,31,31,26,22,25,21,26,24,26,29,29,29,30,29,26,28,26,27,30,31,32,30,24,27,31,30,31,30,30,28,31,31,32,29,28,31,30,30,30,31,31,31,31,28,28,30,31,33,33,30,31,29,28,31,32,33,33,32,29,30,32,32,33,29,30,31,31,33,34,35,33,34,33,33,34,34,35,35,35,34,33,32,33,33,33,31,30,32,34,33,34,34,34,34,33,34,34,35,35,34,33.87,33.59,31.15,31.47,33.94,34.71,34.71,32.92,28.9,31.46,31.89,31.94,29.14,31.12,34.65,33.32,32.92,31.92,31.36,31.62,32.16,33,33.46,34.76,34.19,32.09,32.06,32.36,31.98,30.22,32.33,32.35,31.94,30.6
84001013,US,USA,840,1013.0,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",17,17,20,20,16,15,19,17,17,20,23,23,20,21,23,24,22,21,19,12,8,7,11,13,17,14,13,15,18,11,17,13,12,21,24,24,21,21,11,14,20,22,27,26,18,15,18,13,18,24,18,13,11,15,18,18,20,14,11,17,19,21,23,26,17,16,18,17,21,23,21,24,27,27,28,28,28,27,27,28,28,24,21,27,28,28,30,31,31,28,27,24,21,23,26,28,27,29,29,28,30,21,24,25,24,19,23,26,26,25,23,27,26,23,25,29,24,25,28,24,23,26,29,30,31,31,26,22,26,22,26,25,27,30,29,29,31,28,24,30,28,27,29,32,33,32,24,27,32,31,31,30,32,30,31,32,33,30,28,29,30,30,29,30,31,31,31,28,29,30,33,33,33,30,32,30,29,31,32,32,33,32,32,31,32,31,30,31,29,32,30,32,33,35,34,34,32,33,34,34,33,34,34,34,32,31,33,33,33,31,30,33,35,33,34,33,34,34,33,34,34,35,35,34,34.24,33.86,31.77,32.16,34.34,34.43,34.56,33.52,30.45,31.73,31.75,31.9,28.74,31.05,33.97,32.14,32.5,32.24,30.71,32.31,32.68,33.22,34.14,34.91,34.08,32.76,32.56,32.27,32.78,30.69,32.98,32.93,32.16,30.19
84001015,US,USA,840,1015.0,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",13,14,12,16,12,12,17,14,17,19,21,22,18,20,18,20,17,16,14,8,4,5,10,8,14,8,12,12,16,14,16,10,11,18,23,22,21,18,6,11,16,15,19,23,14,10,15,14,16,18,13,8,8,14,14,12,17,11,8,12,14,19,14,21,14,12,14,14,18,21,19,22,25,20,26,19,18,22,25,26,27,18,19,20,25,22,27,29,28,26,24,15,17,20,25,26,28,28,25,26,24,16,22,19,19,16,20,23,20,17,22,24,21,21,22,25,19,22,26,23,19,24,28,28,29,27,20,20,18,18,22,20,23,26,28,28,29,28,27,23,22,26,30,29,31,30,23,24,29,28,28,28,29,30,31,31,31,31,31,28,29,30,28,29,30,30,28,26,26,28,30,32,31,31,29,27,27,28,27,30,33,30,28,30,32,32,31,27,29,30,31,32,32,30,31,33,34,33,34,33,32,35,34,32,33,31,32,33,33,31,29,32,33,32,32,32,33,31,30,33,34,34,34,34,32.98,33.14,30.09,30.56,32.99,32.06,33.33,31.67,30.68,27.78,30.29,31.17,30.7,26.02,32.04,32.75,27.78,30.46,31.28,32.12,31.12,32.09,33.37,32.89,31.28,30.84,31.24,31.02,30.88,30.4,31.58,31.18,30.88,30.81
84001017,US,USA,840,1017.0,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",15,15,13,19,13,13,17,15,17,19,21,23,20,19,19,21,19,17,15,10,6,6,10,10,15,11,14,13,17,11,16,9,11,18,23,22,21,20,7,10,16,18,23,23,17,13,16,11,15,19,15,9,9,14,15,13,20,12,9,14,16,19,16,19,15,12,15,16,18,21,18,22,25,23,27,25,21,24,26,27,27,23,18,21,26,25,27,28,28,26,26,20,18,21,25,26,27,28,25,27,27,18,23,23,22,17,21,24,23,16,22,24,23,21,23,27,22,23,27,22,18,24,28,28,30,28,24,20,22,19,24,21,24,27,28,28,29,30,25,24,23,26,29,30,30,30,24,24,29,29,30,29,30,30,31,31,31,30,29,30,29,28,29,30,30,29,29,25,26,29,31,32,32,30,29,28,26,30,29,31,32,31,29,30,32,33,32,29,28,29,31,32,32,33,31,32,33,32,34,33,34,33,34,33,33,30,32,32,33,31,28,31,32,31,32,33,32,32,33,33,34,34,33,33,33,33.6,31.15,29.03,32.79,31.63,32.6,31.58,29.33,29.33,30.26,31.43,29.14,28.31,32.51,33,31.16,29.81,30.53,31.41,31.81,31.79,32.31,33.38,32.34,30.6,30.9,30.97,31.22,29.98,31.84,31.4,31.33,31.56
84001019,US,USA,840,1019.0,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",12,13,11,16,12,12,16,13,16,18,20,23,18,19,19,20,17,15,12,8,3,4,9,8,13,8,11,12,15,13,15,9,11,18,22,21,20,18,5,9,15,13,19,20,14,10,14,14,16,17,13,7,8,13,13,10,17,10,8,10,12,18,13,21,15,12,13,14,18,20,18,21,23,19,22,17,16,21,24,25,25,19,19,18,23,21,26,28,27,25,24,15,16,20,25,26,27,28,24,26,24,16,22,17,18,16,20,24,20,18,22,24,21,21,22,24,16,22,26,22,18,23,27,28,28,25,18,20,15,18,22,20,22,25,27,27,29,28,26,23,22,24,27,28,30,29,29,24,27,29,28,27,28,29,30,29,29,31,32,29,29,29,28,29,29,30,28,25,25,27,29,31,30,30,28,26,27,27,27,30,32,30,27,30,32,32,31,28,29,29,31,32,32,29,30,32,33,33,34,33,33,34,34,32,33,31,32,32,32,29,29,30,32,31,30,30,31,31,31,32,33,33,33,33,33.01,33.35,29.32,30.26,33.22,32.73,33.48,30.97,30.49,27.46,30.27,31.28,30.3,25.9,31.51,32.66,28.27,31.28,32.11,31.8,32.16,32.15,33.18,32.62,31.84,31.01,31.5,30.99,30.73,30.58,31.12,30.66,30.71,31.63
